# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
6.55,17,948.522756
5.83,19,952.37809
5.32,16,955.08242
2.98,11,956.903383
3.4,7,957.900046
3.26,9,959.790677
8.5,11,961.838275
5.56,17,965.344622
3.5,6,966.293623
3.0,7,967.21729
5.0,9,968.981304
5.08,14,971.934655
5.12,17,974.693999
5.54,19,978.276584
6.3,14,981.257276
5.76,23,985.580191
1.96,8,986.539189
4.42,9,988.315529
4.02,14,991.225894
4.18,14,993.870542
3.36,14,995.794237
3.95,11,998.618916
5.27,15,1001.336569
5.24,14,1003.260232
4.56,12,1005.886761
3.45,9,1007.93076
3.0,8,1008.91974
0.6,3,1009.755739
4.0,14,1012.441741
5.0,11,1014.245739
5.2,13,1016.168738
5.12,13,1019.076741
3.25,8,1020.844881
3.98,13,1022.71486
4.67,11,1024.511522
1.44,8,1026.465153
4.04,15,1029.151854
8.3,14,1031.747154
4.08,13,1033.607807
4.1,13,1036.461127
4.3,8,1038.174149
5.14,15,1040.867784
6.5,12,1042.70145
4.28,18,1046.511111
3.22,15,1049.245495
3.0,10,1051.025794
4.6,12,1052.907794
6.04,18,1056.68697
6.85,15,1059.377002
5.24,14,1061.279606
5.24,18,1065.073005
5.2,17,1067.812658
5.06,16,1071.270984
5.04,21,1075.074966
3.36,10,1076.844972
5.36,18,1079.576663
4.92,18,1083.300325
3.66,11,1085.111632
4.97,14,1087.777306
5.27,14,1090.683706
3.21,11,1092.512371
2.6,9,1094.286398
1.8,6,1095.227046
3.32,11,1097.060674
5.08,17,1100.793349
3.38,13,1102.638011
5.92,18,1106.127368
5.1,15,1109.090599
5.2,19,1112.619876
3.3,11,1114.395528
3.62,10,1116.184179
6.1,15,1119.119855
3.8,12,1120.967512
6.96,21,1124.587199
3.42,12,1127.411081
4.71,15,1130.084464
4.05,11,1131.871141
4.42,21,1135.452415
3.96,11,1137.715061
4.76,16,1141.816932
3.29,9,1142.901931
5.34,19,1147.133577
5.22,15,1150.059222
3.64,11,1151.912881
3.2,10,1153.783539
4.52,21,1158.754449
2.46,8,1159.817448
3.8,11,1161.815097
5.54,16,1165.548457
6.45,14,1167.739106
4.32,14,1170.435274
4.2,11,1172.409945
4.78,17,1176.402167
4.39,17,1179.260803
4.16,17,1182.695194
3.36,12,1184.516161
3.3,9,1186.498445
5.6,11,1188.272437
5.95,11,1190.059086
2.56,14,1192.654411
2.66,13,1195.501746
4.76,18,1198.240372
3.8,14,1200.905617
4.72,12,1202.82859
4.76,14,1205.733515
6.4,18,1209.259192
4.6,13,1211.126505
4.83,15,1214.096134
4.77,13,1216.717446
3.95,14,1219.403132
3.0,13,1221.316158
5.4,13,1224.1698
6.08,16,1226.825145
4.95,15,1229.534869
5.3,10,1231.574131
4.56,15,1234.248823
5.5,11,1236.070488
5.08,13,1238.854138
2.16,7,1239.908805
5.72,18,1243.953444
3.95,13,1246.807407
5.68,21,1250.959379
5.2,11,1252.865964
4.46,14,1255.56017
6.18,16,1258.339052
5.04,17,1261.410663
5.75,15,1264.087269
5.8,14,1266.701211
5.3,13,1269.530894
4.44,14,1272.110567
4.2,10,1273.878209
3.0,7,1274.816821
3.9,13,1277.407457
4.64,19,1280.441191
7.6,14,1283.116811
4.06,16,1285.822177
1.8,7,1287.820841
0.72,4,1288.683802
5.0,13,1290.585885
4.0,9,1292.373888
4.16,13,1295.03925
3.21,11,1297.156902
5.0,12,1299.053889
5.4,19,1302.679227
4.85,15,1305.344902
3.9,12,1307.40352
4.84,17,1310.857813
3.6,13,1312.718459
4.5,15,1315.647615
1.92,7,1317.324637
7.76,21,1321.025059
7.0,19,1324.902249
5.02,14,1327.568897
3.64,12,1329.429896
5.6,12,1331.3062
5.75,7,1333.060857
5.16,23,1336.995255
6.56,21,1341.36188
8.4,18,1344.357594
4.8,9,1346.066872
6.6,15,1348.730538
4.24,14,1351.373863
5.45,10,1353.402862
3.56,12,1355.23823
6.36,17,1358.690866
2.95,8,1359.670484
5.52,23,1364.378135
5.92,20,1367.940892
6.46,15,1370.922195
3.8,11,1372.755194
7.2,15,1375.400195
4.13,12,1377.273195
5.85,13,1380.158197
4.94,15,1382.84102
4.5,13,1385.440971
6.7,12,1387.270626
4.79,18,1391.031047
6.6,15,1393.690669
3.36,9,1394.717708
4.64,15,1397.36498
5.68,19,1401.080646
6.05,9,1402.836325
5.3,11,1404.635015
4.96,17,1408.382249
3.89,11,1410.199942
4.1,13,1412.053601
5.16,15,1414.719306
5.0,12,1417.58866
5.2,19,1421.160283
6.4,15,1423.851969
7.06,26,1428.642942
6.72,12,1430.473582
4.0,10,1432.265279
5.32,15,1435.210605
3.04,12,1437.784242
7.2,17,1440.523895
4.42,16,1443.238856
4.56,13,1446.124854
5.0,10,1447.901551
4.1,15,1450.628827
4.76,13,1452.531471
7.1,18,1456.28878
5.24,10,1458.03578
3.64,11,1459.861446
7.04,28,1465.453501
4.8,16,1468.179118
5.0,10,1469.969162
3.63,10,1472.027475
4.56,11,1473.822135
5.0,10,1475.581795
4.92,9,1477.342421
6.14,18,1481.095014
3.08,8,1482.067034
4.42,13,1484.652698
4.47,12,1486.488825
5.04,13,1489.164825
5.8,16,1492.173831
5.72,16,1494.903868
5.02,16,1497.631824
2.84,11,1500.468849
2.15,9,1501.495846
5.78,12,1504.086835
6.05,14,1506.744446
3.6,14,1508.886446
5.6,10,1510.680446
4.24,16,1514.098467
6.5,11,1515.909447
5.28,16,1518.896471
4.84,14,1521.505472
3.59,12,1523.356484
6.14,18,1527.121479
6.16,14,1529.745447
4.1,9,1530.787446
5.56,13,1533.435467
5.04,15,1536.390447
5.14,18,1539.986447
6.4,14,1542.037446
3.5,13,1544.733279
3.68,11,1546.811911
4.92,13,1549.464587
5.76,17,1552.218516
4.2,10,1554.005506
4.08,12,1556.856833
3.6,14,1558.80149
4.36,16,1562.24426
4.27,11,1564.340903
4.9,15,1567.00489
5.62,14,1569.688553
4.64,17,1572.457234
5.8,16,1575.404519
3.7,15,1578.085169
6.0,18,1581.60454
6.34,16,1584.626159
3.25,15,1587.26879
5.52,16,1589.988431
6.04,18,1593.771443
6.75,13,1595.641154
6.2,14,1598.276769
5.56,14,1601.232243
5.09,17,1603.968898
5.48,16,1607.425085
5.18,17,1610.469352
4.78,14,1613.135709
3.72,12,1614.969398
5.75,11,1616.793065
5.0,14,1619.768731
3.95,8,1621.51585
4.68,15,1624.19349
2.75,5,1625.104793
5.15,9,1626.852404
4.61,15,1629.788048
2.7,8,1630.757729
5.11,13,1633.344364
5.18,14,1635.958685
4.6,13,1638.095697
5.95,18,1641.557003
5.26,19,1645.065288
5.8,9,1646.098328
6.4,29,1651.663072
5.72,17,1655.150396
3.8,12,1657.265083
4.6,13,1659.914732
4.8,12,1661.78775
6.6,15,1664.496932
6.6,16,1667.412327
5.9,14,1670.039995
7.2,14,1672.675353
7.3,16,1675.610672
5.1,14,1678.208319
4.48,15,1680.891968
4.62,16,1683.837629
4.34,11,1685.640918
6.0,18,1689.192569
6.38,18,1691.997864
2.42,10,1694.069532
5.64,13,1696.74199
4.02,14,1699.409704
5.78,13,1701.312683
4.34,15,1704.240365
1.56,7,1705.934704
8.1,14,1708.554349
4.6,13,1710.44799
5.8,12,1713.268662
6.4,18,1716.035965
6.72,18,1719.529246
6.83,18,1722.561944
5.28,16,1725.989542
3.34,13,1727.884526
4.76,11,1729.976217
6.2,17,1733.473473
3.35,7,1734.420472
4.36,15,1737.108859
5.55,10,1739.274512
4.82,11,1741.211173
5.38,15,1743.895645
5.2,16,1747.469563
6.5,11,1749.532229
6.81,19,1753.030598
4.9,18,1755.744968
5.26,13,1758.650106
4.1,11,1760.466125
7.4,15,1763.132733
3.76,15,1765.830068
5.0,15,1768.833724
5.22,15,1771.545054
6.38,19,1775.09766
3.2,9,1777.132991
3.12,12,1778.989988
5.6,12,1780.882665
2.56,11,1783.478606
3.0,9,1784.507594
2.9,12,1787.374883
5.9,13,1789.261578
4.94,15,1791.91783
4.32,13,1794.781468
4.54,13,1797.385129
4.28,13,1799.291774
5.38,15,1801.962161
7.15,17,1805.751199
2.0,5,1806.624848
3.88,20,1810.212124
4.96,18,1813.284728
4.44,14,1815.931041
4.16,12,1817.796014
7.18,14,1820.482701
5.16,19,1824.322373
5.16,15,1827.026661
2.89,12,1828.839373
5.14,15,1831.752707
2.4,4,1832.635722
3.76,12,1835.209998
2.72,8,1836.173963
2.24,11,1837.98464
4.96,18,1841.749288
5.04,19,1845.246255
5.78,15,1847.863924
4.63,13,1850.019555
5.12,20,1853.610892
4.9,17,1857.05022
4.6,13,1859.216915
4.44,15,1861.912565
4.04,11,1864.476211
6.05,10,1866.263555
3.88,13,1868.434212
6.6,17,1871.923574
4.96,13,1873.774224
5.46,17,1877.449514
3.4,8,1878.432532
5.2,12,1881.010187
4.0,10,1882.797831
5.0,11,1884.602514
5.06,16,1887.591832
4.96,19,1891.136119
